Order,SummitCode,Name,Lat,Long,ChaseCount,FirstChaseDate,,,,,
112,W7W/LC-043,West Twin Butte,46.1173,-121.7712,1,2025-06-20,,,,,
113,W7W/LC-066,Lookout Mountain,45.7997,-122.1043,1,2025-06-22,,,,,
114,W6/CT-150,4202,34.2655,-118.1587,1,2025-06-22,,,,,
115,W7A/AP-015,Timber Top,33.7958,-109.1231,1,2025-06-22,,,,,
116,W7O/SC-052,Jim Mee Peak,42.1708,-123.1787,1,2025-06-22,,,,,
117,W6/CD-010,Hot Springs Mountain,33.3152,-116.5799,1,2025-06-22,,,,,
118,W6/CN-005,Mount Ingalls,39.9941,-120.6274,1,2025-06-24,,,,,
119,W7O/CE-262,6231,42.0945,-121.5892,1,2025-06-24,,,,,
120,W7W/LC-036,Red Mountain,45.9349,-121.8209,1,2025-06-24,,,,,
121,W7W/SK-122,4700 Field Effect Summit,48.3919,-121.4884,1,2025-06-24,,,,,
122,W7W/LC-115,3020 Clarifier Pk,45.8814,-121.8649,1,2025-06-25,,,,,
123,W7W/LC-119,Dog Mountain,45.717,-121.701,1,2025-06-25,,,,,
124,W7W/CW-106,Roaring Ridge,47.3519,-121.4051,1,2025-07-01,,,,,
125,W7W/CW-055,Kachess Ridge,47.3285,-121.2066,1,2025-07-02,,,,,
126,W7W/CW-049,French Cabin Mountain-West Peak,47.3205,-121.1816,1,2025-07-02,,,,,
127,W7W/LC-061,Bare Mountain,45.9101,-122.0717,1,2025-07-03,,,,,
128,W7O/CN-078,6001,45.3061,-121.5766,1,2025-07-03,,,,,
129,W7W/WE-046,Candy Mountain,46.259,-119.3664,1,2025-07-03,,,,,
130,W7W/FR-008,Columbia Mountain,48.6207,-118.4825,1,2025-07-04,,,,,
131,W7W/PL-158,1375 Field Effect Hill,46.2862,-123.8972,1,2025-07-05,,,,,
132,W7W/RS-005,Mount Fremont,46.9254,-121.6731,1,2025-07-06,,,,,
133,W7M/BE-167,7845,45.6287,-113.7824,1,2025-07-07,,,,,
134,W7W/OK-029,Tiffany Mountain,48.6695,-119.9325,1,2025-07-16,,,,,
135,W7W/OK-117,6700 Gain Summit,48.6884,-120.009,1,2025-07-17,,,,,
136,W7O/CS-055,Cinnamon Butte,43.241,-122.1097,1,2025-07-17,,,,,
137,W7W/LC-050,Squaw Butte,46.1172,-121.8025,1,2025-07-20,,,,,
138,W7O/CS-119,Ragsdale Butte,42.7886,-122.7835,1,2025-07-21,,,,,
139,W7O/CS-120,Richter Mountain,42.7639,-122.9499,1,2025-07-21,,,,,
140,W7O/CS-126,Threehorn Mountain,42.7817,-122.9067,1,2025-07-21,,,,,
141,W7I/SI-110,7492,42.37,-112.9306,1,2025-07-21,,,,,
142,W7W/SN-074,Mount McCausland,47.7968,-121.1034,1,2025-07-22,,,,,
143,W7W/ST-144,Gold Hill,48.3278,-117.7649,1,2025-07-28,,,,,
144,W7O/CS-059,Sand Ridge,42.8031,-122.0007,1,2025-07-29,,,,,
145,W7W/CH-194,Cady Ridge,47.9557,-121.1319,1,2025-07-29,,,,,
146,VE7/CS-044,Jutland Mountain,49.7019,-125.4145,1,2025-08-08,,,,,
147,W7O/SC-034,Nihwik Mountain,42.3315,-123.6663,1,2025-08-23,,,,,
